investor,investee,mount,pre_investor,pre_investee,pre_mount,sentence
0,1,0,0,0,0,当探讨过这个问题之后，我们认为孙正义的想法是正确的，Light可以为自动驾驶汽车开发更好的传感或视觉系统
0,1,0,0,1,0,Light公司将自己的核心技术称作软件定义摄像头，这就意味着它需要多张照片在机器学习和其它技术的基础上组合成一张质量非常高的新照片
0,1,0,0,1,0,而这也就是Light公司之前推出的一款L16相机为什么会配备16枚摄像头的原因
0,1,0,0,1,0,这也意味着Light的技术可以通过图像提取3D数据，例如当自动驾驶汽车需要知道与路边的距离时，这种技术就可以派上用场
0,0,0,0,1,0,计算机摄影技术确实需要大量的图片，通过小型的低成本相机，包括使用在智能手机中的摄像头，将它们拍摄的照片与软件结合到一起
0,0,0,0,0,0,格朗南表示
0,0,0,0,0,0,这样就会得到高质量、高分辨率的3D图像
0,1,0,0,1,0,格朗南表示，Light公司不会完全转型为自动驾驶汽车开发图像技术，而是会继续销售L16相机，并且继续进军智能手机摄像头市场
0,0,0,0,0,0,该公司计划在今年秋天发布首款应用该技术的智能手机，并计划未来与其它智能手机厂商合作，明年推出4到9款机型
1,0,0,0,1,0,除了软银之外，著名相机品牌莱卡也参与了此轮融资，另外还包括了GV、BessemerVenturePartners、CharlesRiverVentures、EclipseVentures等风投机构
0,1,0,0,1,0,Light公司目前拥有120位员工，其中包含18位博士
0,0,0,0,1,0,公司联合创始人兼首席技术官拉吉夫-拉罗亚RajivLaroia也位列其中
0,1,0,0,1,0,格朗南表示，在获得投资之后，Light暂时不会公布自己的最新估值
0,0,0,0,1,0,根据PitchBook之前的数据显示，该公司在2016年完成了3000万美元的C轮融资之后，估值达到了1.47亿美元
0,0,0,0,0,0,编译/音希
,,,,,,;;;;;;;;;;
1,1,1,1,1,1,近日，美国女性护理初创公司Rael宣布完成210万美元Pre-A轮融资，由软银集团SoftBankGroup旗下的韩国早期风险投资机构 SoftBankVenturesKorea领投，线上有机食品供应商ThriveMarket旗下风投机构 ThriveMarketVentures等一批知名公司和投资者参投
0,1,0,0,0,0,Rael由三位女性于2017年联合创立，她们分别是
0,0,0,0,0,0,记者兼畅销书作家AnessAn，建筑师兼艺术总监BinnaWon和拥有哈佛商学院学位的迪斯尼电影制片厂WaltDisneyStudios前发行人YangheePaik
0,1,0,0,0,0,三人以开发和生产市场上所缺乏的健康、舒适和高性能的女性经期护理产品为初衷，创立了Rael品牌
0,0,0,0,0,0,YangheePaik表示
0,0,0,0,0,0,世界上有一半的人口是女性，一般女性要在生命中长达四五十年的时间里每个月经历一次生理期
0,0,0,0,0,0,传统的卫生巾产品吸收能力强，但含有毒化学物质
0,0,0,0,0,0,而一些纯天然的替代材料虽然健康的，但制作的产品效果一般
0,1,0,0,1,0,因此，我们创建了Rael
0,1,0,0,1,0,Rael在成立近一年的时间不断扩大其产品范围
0,0,0,0,0,0,现旗下产品包括用100％有机棉制成的卫生巾、护垫和可生物降解棉条，女性经期一次性内裤、面膜、女性私处护理液和清洁湿巾
0,1,0,0,0,0,这些产品在英国、德国、法国、意大利、西班牙、日本和韩国进行线下销售，并通过亚马逊Amazon、iHerb、Walmart.com以及自有电商平台GetRael.com进行线上销售
0,1,0,0,1,0,在成立的一年时间内，Rael已经完成了种子轮融资
0,0,0,0,0,0,投资者包括手机配件公司
0,0,0,0,0,0,Spigen、由系列创业家BrianLee领导的风投公司BAMVentures、加州种子基金StrongVentures和韩国初创企业加速器Primer
0,1,0,0,0,0,Rael计划利用这笔资金不断提升产品，扩大其团队，并将公司扩展到海外
1,1,0,0,0,0,SoftBankVenturesKorea负责人EdwardChung和ThriveMarket联合创始人兼CEONickGreen都对Rael表示了肯定
1,0,0,1,0,0,关于 SoftBankVenturesKorea
1,0,0,1,0,0,SoftBankVenturesKorea成立于2000年，是软银集团韩国控股公司旗下唯一一家全球性早期风险投资机构
1,0,0,1,1,0,SoftBankVenturesKorea投资于在亚洲、美国、以色列和欧盟地区具有强大潜力的初创公司，专注于人工智能、物联网和智能机器人行业
1,0,0,1,1,0,迄今为止，SoftBankVenturesKorea已在230家初创公司投资4.32亿美元
,,,,,,;;;;;;;;;;
0,1,1,0,1,1,本周，P2P贷款平台FundingSocieties在印尼称为Modalku成功完成2500万美元B轮融资
0,1,0,0,0,0,据了解，FundingSocieties本次融资也是东南亚P2P行业规模最大的一次融资
1,0,0,1,0,0,本次融资由软银风投韩国领投，红杉资本印度、AlphaJWXVentures印尼和金门创投跟投，Qualgro和LINEVentures也参与了这一超额认购
0,0,0,0,0,0,此外，该平台还提高了来自银行和金融机构的信贷额度，以进一步支持中小企业发展
0,1,0,0,1,0,由KelvinTeo和ReynoldWijaya于2015年创立的FundingSocieties是一个数字借贷平台，致力于将新加坡、印度尼西亚和马来西亚的中小型企业中小型企业与零售和机构贷方连接起来
1,1,0,0,0,0,软银风投韩国隶属于软银集团的1000亿美元愿景基金，专注早期风投，并在此次FundingSocieties融资中投入了大部分资金
0,0,0,0,0,0,此外，软银集团还为美国的SoFi和Kabbage等大型替代贷款以及东南亚的Grab等科技巨头提供过资金
,,,,,,;;;;;;;;;;
0,0,0,1,1,0,新浪科技讯北京时间3月2日早间消息，软银刚刚向Uber的竞争对手注入大笔资金，只不过这次是在一个稍微有所不同的市场上
0,1,0,0,1,0,送餐业初创企业DoorDash一直在市场上与UberEats两不相让
1,0,1,1,0,1,本周四该公司表示，完成了一笔金额为5.35亿美元的融资，由软银集团旗下的1000亿美元愿景基金领投
0,1,0,1,0,0,据一位熟悉内情但不愿透露姓名的人士称，该交易将DoorDash的资产价值评估为14亿美元左右
1,0,0,1,0,0,软银一直在向全球各地的上市公司注入资金，最近刚刚收购了Uber15%的股份，成为最大股东
0,0,0,1,0,0,这家日本公司同时拥有新加坡Grab、印度Ola和巴西99，以及中国嘀嘀出行公司的部分股权
1,0,0,1,0,0,软银也公开表示有兴趣支持Lyft——Uber在美国的最大对手
0,1,0,0,1,0,DoorDash只关注食品配送业务，这属于Uber的第二项业务，但拼车巨头显然志在必得
0,0,0,0,1,0,今年一月，Uber收购了一家只提供送餐服务的餐厅Ando，首席执行官达拉·科斯罗沙西DaraKhosrowshahi在慕尼黑的一次活动上表示，Uber今年将成为世界上最大的送餐公司
0,0,0,0,0,0,不过，食品配送是一个巨大的分散市场，在经历了一个危机重重的时期后，投资者的情绪正在改善
0,0,0,0,1,0,去年六月，食品包装供应商蓝围裙BlueApron完成了首次公开募股
0,1,0,0,1,0,尽管目前蓝围裙公司的股价仍然比发行价低70%，在过去一年GrubHub公司——DoorDash更直接的竞争对手——的股价却几乎增长两倍，现在的估值超过85亿美元
0,0,0,0,1,0,去年，GrubHub以2.88亿美元收购了Yelp公司下属的Eat24
0,1,0,0,1,0,DoorDash上一次融资是在2016年，获得了1.27亿美元
0,0,0,0,0,0,华尔街日报当时报道说，该公司未能以预期的10亿美元估值筹集资金，实际估值为7亿美元
0,1,0,0,1,0,DoorDash公司首席执行官托尼·徐TonyXu向媒体表示，新资金将用于促进与更多餐馆合作，在技术方面的投资将使各家餐馆将DoorDash的技术整合到自己的网站和移动App应用上，并在美国和加拿大把服务600个城市拓展到1600个城市
0,1,0,0,1,0,徐说，目标是让DoorDash成为每个城市的最后一公里物流平台
0,1,0,0,1,0,像Uber一样，DoorDash拥有自己的开发人员，以及提供送餐服务的人员和承包商
0,0,0,0,1,0,徐说，在他们的平台上有超过250,000个所谓的dashers,,,,,,,,
0,0,0,0,0,0,他说，今年公司计划将员工人数从550名增长到800名
1,1,0,0,1,0,软银愿景基金的杰夫·豪森博尔德JeffHousenbold是Grab和Munchery两家公司的董事，此番将入主DoorDash
1,1,0,1,0,0,DoorDash公司的原有投资方红杉资本和新加坡的GIC也参与了本轮投资
1,1,0,0,1,0,对于软银同时在Uber和DoorDash投资，徐抱有积极态度
0,0,0,0,0,0,最好的投资者总是投资于每个领域的赢家，他说
0,0,0,0,0,0,斯眉
,,,,,,;;;;;;;;;;
0,0,0,1,1,1,中国证券网讯记者黄蕾2月2日，中国平安宣布旗下三家科技公司&mdash
0,1,0,0,1,0,平安健康医疗科技有限公司下称平安好医生、平安医疗健康管理股份有限公司下称平安医保科技和平安壹账通金融科技有限公司下称金融壹账通于近日分别顺利完成定向私募融资
0,0,0,0,1,1,其中，平安好医生此次为PreIPO融资，融资金额为4亿美元
0,0,0,0,1,0,目前，平安好医生已向香港联交所递交了A1申请表格
0,1,1,0,1,1,此外，平安医保科技完成首次融资11.5亿美元，金融壹账通也完成首次融资6.5亿美元
0,1,0,0,1,1,平安好医生是全球医疗健康互联网第一大入口，平安医保科技是中国最大的科技驱动管理式医疗平台，金融壹账通是中国唯一一家一站式全方位金融科技赋能方案提供商
1,1,0,0,1,0,中国平安方面透露，以上三个项目的融资都获得了投资者的踊跃参与，以软银愿景基金投资平安好医生及平安医保科技、IDG、SBI集团等境外投资者为主，体现了国际资本市场对平安的科技创新，及旗下科技业务的模式、增长潜力和价值的充分认可
1,0,0,0,0,0,对于此次投资，负责本次融资项目的软银愿景基金负责人松井健太郎KentaroMatsui表示
0,0,0,0,0,0,中国是全球经济最有活力的新兴经济体，拥有全球最大的医疗健康市场，公司看好这一领域的巨大发展潜力
0,0,0,0,0,0,作为中国领先的企业之一，中国平安是新兴医疗科技领域的引领者
0,0,0,0,0,0,中国平安表示
0,0,0,0,0,0,此次融资体现了国际投资者对中国平安科技转型战略的充分认同，及对平安的医疗科技和金融科技在数据、技术、人才、场景等方面优势的信心
0,0,0,0,0,0,融资的完成将进一步充实公司科技业务发展的资金实力，完善公司治理结构，抓住有利的市场机会，加速发展
0,0,0,0,0,0,中国医疗科技和金融科技正在蓬勃发展，潜在市场规模巨大，公司将持续推进‘金融+科技’双驱动战略，通过我们核心主营业务科技能力的提升及完善金融、医疗生态圈，高效、精准地满足客户全方位的金融生活服务需求，致力成为世界领先的金融科技公司
0,0,0,0,1,0,在科技创新探索之路上，中国平安一直走在行业前列
0,0,0,0,1,0,过去十年，中国平安在努力利用科技推动主营业务发展的同时，积极将其拓展成为第三方科技服务的平台，并已取得显著成效
0,0,0,0,1,0,目前，中国平安拥有科技研发人员超过两万名，大数据科学家超过500人，申请全球和国家各类专利量超3000项，多个领域的科技创新处于全球领先水平
0,0,0,0,1,0,在金融+科技战略新蓝图指引下，中国平安以五大核心技术人工智能、大数据、云平台、区块链与生物识别为基础，深度聚焦金融科技与医疗科技两大领域
0,0,0,0,0,0,一方面，将科技成果运用于平安核心金融业务中，提升竞争力
0,0,0,0,0,0,另一方面，不断将这些领先的技术，孵化出一系列金融科技和医疗科技平台，向社会及行业开放，并且不少技术应用已经走向海外
0,0,0,0,1,0,目前，平安好医生已成为全球领先的医疗健康流量入口，累计注册用户已超过1.9亿，月活跃用户数峰值超3000万
0,1,0,0,1,0,平安医保科技的业务已覆盖全国70%城市和8亿人口，为250多个城市提供控费服务、精算服务、医保账户服务、医疗资源管理、健康档案应用等全方位医保、商保管理服务
0,0,0,0,1,0,金融壹账通已先后为包括420多家银行在内的2300余家机构伙伴提供一站式金融科技解决方案，机构端的交易量超12万亿元，交易量、合作机构数、客户规模等均呈现跨越式增长
,,,,,,;;;;;;;;;;
